NUMBER	GLOSS	ORTH_NEEDHAM	PHON_NEEDHAM	ROMAN_MODERN	PHON_MODERN	ORTH_MODERN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	above	rang	rʌŋ	rvungx	rɐuŋ₂	𖪲𖩻𖪇𖪐.𖪬𖪗	sky rather than above, locative needed to mean above, or by using /tʰɐuk₄/	1741	ABOVE
2	acid	â´hî	ɑ.hiˀ	v.hix	ə₀hi₂	𖩸.𖪭𖪃		1906	SOUR
3	all	wa´tong	wʌ.tɒŋ	wv.tvungx	βə₀tɐuŋ₂	𖪦𖩸.𖪰𖩻𖪇𖪐		98	ALL
4	alive	â-ta´rong	ɑ.tʌ.rɒŋ	v.thv.rvungx	ə₀t̪ə₀rɐuŋ₂	𖩸.𖪹𖩸.𖪲𖩻𖪇𖪐		1422	BE ALIVE
5	anger	an´yürr	ʌn.jyr	v.nyerx	ə₀ɲer₂	𖩸.𖪨𖩿𖪲	to avoid someone due to being emotionally hurt. angry should be /t̪ɨn₁kʰɐi₂/, "bitter liver"	82	ANGER
6	arm	yok´phûm	jɒk.pʰum	yvuk.phumz	ʒɐuk₄pʰum₁	𖪥𖩸𖪄𖪠.𖪩𖪄𖪫		1673	ARM
7	arrow	lâ´san	lɑ.sʌn	laq.sanz	laʔ₄san₁	𖪮𖩶.𖪤𖩴𖪬		977	ARROW
8	ash	tap´thâ	tʌp.tʰɑ	tvp.htaq	tɐp₄tʰaʔ₄	𖪰𖩸𖪧.𖪯𖩶	specifically hearth ash, not other ash	646	ASH
9	aunt	î´sî	i.si	iz.suiyz	i₁sɨi₁	𖪀.𖪤𖪌𖪀	i- is 1sg.poss, thus "my maternal aunt". paternal is /ŋɨi₁/.	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)
10	axe	mang´kî	mʌŋ.ki	muingx.kix	mɨŋ₂ ki₂	𖪫𖪏𖪐.𖪠𖪃		677	AXE
11	bad	â´bâ	ɑ.bɑ	v.bac	ə₀ba₃	𖩸.𖪪𖩵		1292	BAD
12	bag	yâ´khâk	jɑ.kʰɑk	nyac.khak	ɲa₃kʰak₄	𖪨𖩵.𖪡𖩴𖪠	satchet, literally tobacco bag	2468	BAG
13	bamboo	wâṉ	wɑ̃	wawx	βɔ₂	𖪦𖪋		1927	BAMBOO
14	basket, man's	phâng´phai	pʰɑŋ.pʰɒi̯	phangx.phvyc	pʰaŋ₂pʰɐi₃	𖪩𖩷𖪐.𖪩𖩹𖪁	not a basket, actually a carrying bag	2468	BAG
15	basket, woman's	khêṉ	kʰẽ	khec	kʰe₃	𖪡𖩽	largest type of basket used for carrying rice. not a woman's basket.	1539	BASKET
16	basket, small flat	phê	pʰe	phec	pʰe₃	𖪩𖩿		1539	BASKET
17	bead	lik´sâ	lɪk.sɑ	luik.thuiyz	lɨk₄t̪ɨi₁	𖪮𖪌𖪠.𖪤𖩴., 𖪮𖪌𖪠.𖪹𖪌𖪀	type of tightly worn woman's necklace. bead is /lɨk₄t̪ɨi₁/	1961	NECKLACE
18	bear	cha´bâ	ʧʰʌ.bɑ	jvp.bawx	ʨɐp₄bɔ₂	𖪵𖩸𖪧.𖪪𖪋		1820	BEAR
19	bee	yâṉ	jɑ̃	nyaq	ɲaʔ₄	𖪨𖩶	Needham's underlined is nasalisty from the onset	665	BEE
20	belly	vak	βʌk	wuk	βuk₄	𖪦𖪄𖪠		1251	BELLY
21	bird	vû	βu	wuz	βu₁	𖪦𖪄		937	BIRD
22	black	ân´yak	ɑn.jʌk	v.nyvuk	ə₀ɲɐuk₄	𖩸.𖪨𖩸𖪄𖪠	incorrect syllabification	163	BLACK
23	bite, v	kok	kɒk	kvuk	kɐuk₄	𖪠𖩸𖪄𖪠		1403	BITE
24	bitter	â´krip	ɑ.krɪp	v.khuip	ə₀kʰɨp₄	𖩸.𖪡𖪌𖪧	bitter of flavour	887	BITTER
25	blood	ta´gri	tʌ.grɪ	tv.ghuiyz	tə₀ɣɨi₁	𖪰𖩸.𖪷𖪌𖪀	<r> here marks vowel quality	946	BLOOD
26	bone	â´râṉ	ɑ.rɑ̃	v.rawz	ə₀rɔ₁	𖩸.𖪲𖪈		1394	BONE
27	bow	lâ	lɑˀ	[kaz.lic.]laq	[ka₁li₃]laʔ₄	[𖪠𖩴.𖪮𖪁.]𖪮𖩶		994	BOW
28	bough	pûlphâk	pul.pʰɑk	pulx.phak	pul₂pʰak₄	𖪧𖪇𖪮.𖪩𖩴𖪠		346	BANYAN
29	bracelet	yok´sân	jɒk.sɑn	yvuk.sanx	ʒɐuk₄san₂	𖪥𖩸𖪄𖪠.𖪤𖩷𖪬		1754	BRACELET
30	bridge	hî	hi	hix	hi₂	𖪭𖪃		1011	BRIDGE
31	brother, elder	î´phû	i.pʰu	v.phuz	ə₀pʰu₁	𖩸.𖪩𖪄	i- is 1sg.poss	1759	OLDER BROTHER
32	brother, younger	î´nô	i.no	v.nox	ə₀no₂	𖩸.𖪬𖩳	younger siblings are not distinguished for gender	427	YOUNGER SIBLING
33	buffalo	ngâ	ŋɑ	ngac	ŋa₃	𖪣𖩵		2516	WATER BUFFALO
34	bullet	chûn´dî	ʧʰun.di	junx.thuiyz	ʨun₂t̪ɨi₁	𖪵𖪇𖪬.𖪹𖪌𖪀		1114	BULLET
35	bury, v	lîp	lip	luip	lɨp₄	𖪮𖪌𖪧		1719	BURY
36	buy, v	rî	ri	ruiyx., vrez	rɨi₂, ə₀re₁	𖪲𖪏𖪇., 𖩸𖪲𖩼		1869	BUY
37	calf of leg	yavuin	jʌ.βuɪn	yaz.wuenc	ʒa₁βɤn₃	𖪥𖩴.𖪦𖪔𖪬		498	CALF OF LEG
38	call, v	ka´châ	kʌ.ʧʰɑ	kv.jaz	kə₀ʨa₁	𖪠𖩸.𖪵𖩴	to call is /ɣəl₁/	1458	SAY
39	cane (small kind)	rî	ri	ruiyx	rɨi₂	𖪲𖪏𖪇		659	REED
40	cane (large kind)	het	hɛt	het	het₄	𖪭𖩼𖪰		2497	RATTAN
41	catch hold of, v	lû	lu	luz	lu₁	𖪮𖪄		702	CATCH
42	caoutchouc	nî´türr	ni.tyr	nuiyx.tuirx	nɨi₂tɨr₂	𖪬𖪏𖪇.𖪰𖪏𖪲	natural rubber		
43	child (able to walk)	nô´yâṉ	no.jɑ̃	nox yawx	no₂ ʒɔ₂	𖪬𖩳 𖪥𖪋		2099	CHILD
44	child (baby)	nô´shâṉ	no.ʃɑ̃	nox shawx	no₂ ʃɔ₂	𖪬𖩳 𖪴𖪋		2099	CHILD
45	chillic	ma´kât	mʌ.kɑt	muit.kat	mɨt₄kat₄	𖪫𖪌𖪰.𖪠𖩴𖪰		919	CHILI PEPPER
46	claw	yok´thin	jɒk.tʰɪn	yvuk.httuinx	ʒɐuk₄t̪ʰɨn₃	𖪥𖩸𖪄𖪠.𖪸𖪏𖪬	claw would be /kʰɨŋ₂/	1258	FINGERNAIL
47	climb, v	dü	dy	duiz	dɨ₁	𖪱𖪌		1102	CLIMB
48	cloth (chudder)	khaithûm	kʰɒi̯.tʰum	khvyz.htumc	kʰɐi₁tʰum₃	𖪡𖩸𖪀.𖪯𖪅𖪫	any blanket	806	BLANKET
49	cloud	rông	roŋ	--	--	--		1489	CLOUD
50	cold	rong´shûng	rɒŋ.ʃuŋ	rvungx.sungc	rɐuŋ₂suŋ₃	𖪲𖩻𖪇𖪐.𖪤𖪅𖪐		2483	COLD (OF WEATHER)
51	comb	chû	ʧʰu	tsuz	ʦu₁	𖪶𖪄		2070	COMB (VERB)
52	come, v	kâ´lô	kɑ.lo	kaz.loq	ka₁loʔ₄	𖪠𖩴.𖪮𖩲		1446	COME
53	corpse	mî-tî´kâ	mi.ti.kɑ	miq thuiyc kaz	miʔ₄ t̪ɨi₃ ka₁	𖪫𖪂 𖪹𖪍𖪁 𖪠𖩴	literally "person died", not corpse /mɐuŋ₂/ 		
54	cooking pot	tik	tɪk	tuik	tɨk₄	𖪰𖪌𖪠		3653	COOKING POT
55	cotton	rî´pü	ri.py	ruiyz.puic	rɨi₁pɨ₃	𖪲𖪌𖪀.𖪧𖪍		1850	COTTON
56	cow	mân´sû	mɑn.su	manx.suiux	man₂sɨu₂	𖪫𖩷𖪬.𖪤𖪛		3044	BOVINE
57	cry	â´kwarr	ɑ.kwʌr	khorx	kʰor₂	𖪡𖩳𖪲		1839	CRY
58	cross bow	kong´kî	kɒŋ.ki	--	--	--	not attested today, but see elsewhere in Tangsa for /laʔ.koŋ/	3193	CROSSBOW
59	crow	wû´khâ	wu.kʰɑ	wuz.khax	βu₁kʰa₂	𖪦𖪄.𖪡𖩷		913	CROW
60	dance, v	va´nerm	βʌ.nɤm	wv.nuemz	βə₀nɤm₁	𖪦𖩸.𖪬𖪕𖪫		1879	DANCE
61	daughter	yâ´shikshâ/yâ´shikshâṉ	jɑ.ʃɪk.ʃɑ/jɑ.ʃɪk.ʃɑ̃	yalx.jik.saz	ʒal₂ʨɨk₄sa₁	𖪥𖩷𖪮.𖪵𖪀𖪠.𖪤𖩴	final l is present underlyingly	1357	DAUGHTER
62	to-day	ta´nî	tʌ.ni	tv.nhuiyq	tə₀n̪ɨiʔ₄	𖪰𖩸.𖪳𖪌𖪂	only used in the morning. in the afternoon "today" is /m₁n̪ɨiʔ₄/	1283	TODAY
63	morrow	î´nap	i.nʌp	iz.nvp	i₁nɐp₄	𖪀.𖪬𖩸𖪧		1329	TOMORROW
64	dhao	yaung	jɒu̯ŋ	yvungz	ʒɐuŋ₁	𖪥𖩸𖪄𖪐		2680	MACHETE
65	daily	varong´nî	βʌ.rɒŋ.ni	wv.rvungx.nhuiyq	βə₀rɐuŋ₂n̪ɨiʔ₄	𖪦𖩸.𖪲𖩻𖪇𖪐.𖪳𖪌𖪂			
66	deer	ngam	ŋʌm	ngvmx	ŋɐm₂	𖪣𖩻𖪫	any flesh or meat or other animal. not deer specifically.	619	ANIMAL
67	dhan (paddy)	sam	sʌm	tsvmz	ʦɐm₁	𖪶𖩸𖪫		2749	UNHUSKED RICE
68	different	adai	ʌ.dɒi̯	v.dvyx	ə₀dɐi₂	𖩸.𖪱𖩻𖪃		2504	DIFFERENT
69	dog	gui´heṉ	guɪ.hɛ̃	ghuiz.hex	ɣui₁he₂	𖪷𖪌.𖪭𖩿		2009	DOG
70	door	khâ´lü	kʰɑ.ly	kac.luix	ka₃lɨ₂	𖪠𖩵.𖪮𖪏		1567	DOOR
71	drink	ning	nɪŋ	nuingx	nɨŋ₂	𖪬𖪏𖪐		1401	DRINK
72	drinking cup (of bamboo)	khap	kʰʌp	khap	kʰap₄	𖪡𖩴𖪧	modern cup. traditional ones are called /kok₄/.	476	CUP
73	drum	nûng	nuŋ	nungx	nuŋ₂	𖪬𖪇𖪐		908	DRUM
74	beat drum	nungtim	nuŋ.tɪm	nungx tuimz	nuŋ₂ tɨm₁	𖪬𖪇𖪐 𖪰𖪌𖪫			
75	dung	dî	diˀ	diq	diʔ₄	𖪱𖪂		2057	DUNG (ANIMAL FAECES)
76	dust	mût´gui	mut.guɪ	bok.khuiyx	bok₄kʰɨi₂	𖪪𖩰𖪠.𖪡𖪏𖪇		2	DUST
77	ear	nâ	nɑ	nac	na₃	𖪬𖩵		1247	EAR
78	earring	nâchî	nɑ.ʧʰi	nac.jic	na₃ʨi₃	𖪬𖩵.𖪵𖪁		770	EARRING
79	earth	gâ	gɑˀ	ghaq	ɣaʔ₄	𖪷𖩶		626	LAND
80	eat	sâ	sɑ	saq	saʔ₄	𖪤𖩶		1336	EAT
81	egg	wû´dî	wu.di	wuz.tiz	βu₁ti₁	𖪦𖪄.𖪰𖪀		744	EGG
82	empty	shok´thü	ʃɒk.tʰy	shvuk.httuiz	ʃɐuk₄t̪ʰɨ₁	𖪴𖩸𖪄𖪠.𖪸𖪌		1624	EMPTY
83	eye	mak	mʌk	muik	mɨk₄	𖪫𖪌𖪠		1248	EYE
84	face	thal	tʰʌl	htvlx	tʰɐl₂	𖪯𖩻𖪮		1560	FACE
85	false	â´rot	ɑ.rɒt	v.rovt	ə₀roɐt₄	𖩸.𖪲𖩰𖩸𖪰		3069	FALSE
86	elephant	jân	ʧɑn	jawz	ʨɔ₁	𖪵𖪈		1290	ELEPHANT
87	fat (not lean)	â´pü	ɑ.py	v.puiz	ə₀pɨ₁	𖩸.𖪧𖪌	Needham incorrectly glossed as the wrong "fat" in English	323	FAT (ORGANIC SUBSTANCE)
88	far	â´jâl	ɑ.ʧɑl	yalz	ʒal₁	𖪥𖩴𖪮		1406	FAR
89	father	vâ	βɑ	v.waz	ə₀βa₁	𖩸.𖪦𖩴		1217	FATHER
90	fear	â´hî	ɑ.hi	v.hiz	ə₀hi₁	𖩸.𖪭𖪀		781	FEAR (FRIGHT)
91	feather	mûl	mul	mulz	mul₁	𖪫𖪄𖪮	body hair or fur generally	1201	FEATHER
