ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthographic_Entry,Attestation
MuishaungNeedham-1_above-1,,MuishaungNeedham,1_above,rʌŋ,rʌŋ,r ʌ ŋ,,Needham1897,,,^r ʌ ŋ$,default,rang,1897
MuishaungModern-1_above-1,,MuishaungModern,1_above,rɐuŋ₂,rɐuŋ₂,r ɐu ŋ ₂/²³¹,,VanDam2025,,,^r ɐu ŋ ₂$,default,rvungx,2024
MuishaungNeedham-2_acid-1,,MuishaungNeedham,2_acid,ɑ.hiˀ,ɑ.hiˀ,ɑ + h i ˀ/ʔ,,Needham1897,,,^ɑ . h iˀ$,default,â´hî,1897
MuishaungModern-2_acid-1,,MuishaungModern,2_acid,ə₀hi₂,ə₀hi₂,ə ₀/⁰ h i ₂/²³¹,,VanDam2025,,,^ə ₀ h i ₂$,default,v.hix,2024
MuishaungNeedham-3_all-1,,MuishaungNeedham,3_all,wʌ.tɒŋ,wʌ.tɒŋ,w ʌ + t ɒ ŋ,,Needham1897,,,^w ʌ . t ɒ ŋ$,default,wa´tong,1897
MuishaungModern-3_all-1,,MuishaungModern,3_all,βə₀tɐuŋ₂,βə₀tɐuŋ₂,β ə ₀/⁰ t ɐu ŋ ₂/²³¹,,VanDam2025,,,^β ə ₀ t ɐu ŋ ₂$,default,wv.tvungx,2024
MuishaungNeedham-4_alive-1,,MuishaungNeedham,4_alive,ɑ.tʌ.rɒŋ,ɑ.tʌ.rɒŋ,ɑ + t ʌ + r ɒ ŋ,,Needham1897,,,^ɑ . t ʌ . r ɒ ŋ$,default,â-ta´rong,1897
MuishaungModern-4_alive-1,,MuishaungModern,4_alive,ə₀t̪ə₀rɐuŋ₂,ə₀t̪ə₀rɐuŋ₂,ə ₀/⁰ t̪ ə ₀/⁰ r ɐu ŋ ₂/²³¹,,VanDam2025,,,^ə ₀ t̪ ə ₀ r ɐu ŋ ₂$,default,v.thv.rvungx,2024
MuishaungNeedham-5_anger-1,,MuishaungNeedham,5_anger,ʌn.jyr,ʌn.jyr,ʌ n + j y r,,Needham1897,,,^ʌ n . j y r$,default,an´yürr,1897
MuishaungModern-5_anger-1,,MuishaungModern,5_anger,ə₀ɲer₂,ə₀ɲer₂,ə ₀/⁰ ɲ e r ₂/²³¹,,VanDam2025,,,^ə ₀ ɲ e r ₂$,default,v.nyerx,2024
MuishaungNeedham-6_arm-1,,MuishaungNeedham,6_arm,jɒk.pʰum,jɒk.pʰum,j ɒ k + pʰ u m,,Needham1897,,,^j ɒ k . pʰ u m$,default,yok´phûm,1897
MuishaungModern-6_arm-1,,MuishaungModern,6_arm,ʒɐuk₄pʰum₁,ʒɐuk₄pʰum₁,ʒ ɐu k ₄/⁵⁵ + pʰ u m ₁/³¹,,VanDam2025,,,^ʒ ɐu k ₄ pʰ u m ₁$,default,yvuk.phumz,2024
MuishaungNeedham-7_arrow-1,,MuishaungNeedham,7_arrow,lɑ.sʌn,lɑ.sʌn,l ɑ + s ʌ n,,Needham1897,,,^l ɑ . s ʌ n$,default,lâ´san,1897
MuishaungModern-7_arrow-1,,MuishaungModern,7_arrow,laʔ₄san₁,laʔ₄san₁,l a ʔ ₄/⁵⁵ + s a n ₁/³¹,,VanDam2025,,,^l a ʔ ₄ s a n ₁$,default,laq.sanz,2024
MuishaungNeedham-8_ash-1,,MuishaungNeedham,8_ash,tʌp.tʰɑ,tʌp.tʰɑ,t ʌ p + tʰ ɑ,,Needham1897,,,^t ʌ p . tʰ ɑ$,default,tap´thâ,1897
MuishaungModern-8_ash-1,,MuishaungModern,8_ash,tɐp₄tʰaʔ₄,tɐp₄tʰaʔ₄,t ɐ p ₄/⁵⁵ + tʰ a ʔ ₄/⁵⁵,,VanDam2025,,,^t ɐ p ₄ tʰ a ʔ ₄$,default,tvp.htaq,2024
MuishaungNeedham-9_aunt-1,,MuishaungNeedham,9_aunt,i.si,i.si,i + s i,,Needham1897,,,^i . s i$,default,î´sî,1897
