Grapheme	IPA	Examples	Languages	Frequence	Codepoints
$	NULL				
.	+	jɑ.ʃɪk.ʃɑ, jɑ.ʃɪk.ʃɑ̃	MuishaungNeedham	100	U+002e
^	NULL				
^[ka₁li₃]laʔ₄	k a ₁ + l i ₃ + l a ʔ ₄	[ka₁li₃]laʔ₄	MuishaungModern	1	U+005b U+006b U+0061 U+2081 U+006c U+0069 U+2083 U+005d U+006c U+0061 U+0294 U+2084
^b	b	bok₄, ba₁	MuishaungModern, MuishaungNeedham	5	U+005e U+0062
^d	d	dy, dʌm	MuishaungNeedham, MuishaungModern	13	U+005e U+0064
^g	g	gɑp, gʌ.ny	MuishaungNeedham	7	U+005e U+0067
^h	h	hɛt, het₄	MuishaungNeedham, MuishaungModern	6	U+005e U+0068
^i	i	i.nʌp, i.hi.wɑ	MuishaungNeedham, MuishaungModern	8	U+005e U+0069
^j	j	jɒk.tʰɪn, jɑ.ʃɪk.ʃɑ	MuishaungNeedham	35	U+005e U+006a
^k	k	ku, kʌ.tɛn	MuishaungNeedham, MuishaungModern	29	U+005e U+006b
^kʰ	kʰ	kʰi₁, kʰɑ.ly	MuishaungModern, MuishaungNeedham	24	U+005e U+006b U+02b0
^l	l	lu₁, lu	MuishaungModern, MuishaungNeedham	29	U+005e U+006c
^m	m	man₂sɨu₂, mi.βɑ.ʃɑ̃	MuishaungNeedham, MuishaungModern	32	U+005e U+006d
^n	n	nɨŋ₂, ni.tyr	MuishaungNeedham, MuishaungModern	28	U+005e U+006e
^n̪	n̪	n̪ɨiʔ₄sa₁, n̪ɨi₂	MuishaungModern	2	U+005e U+006e U+032a
^p	p	pɨ₂βuŋ₂, pu	MuishaungNeedham, MuishaungModern	12	U+005e U+0070
^pʰ	pʰ	pʰɑŋ.pʰɒi̯, pʰe₃	MuishaungNeedham, MuishaungModern	8	U+005e U+0070 U+02b0
^r	r	ri, rɨi₂	MuishaungNeedham, MuishaungModern	28	U+005e U+0072
^s	s	sɑ, sʌm	MuishaungNeedham, MuishaungModern	4	U+005e U+0073
^t	t	tə₀li₃, tʌp.tʰɑ	MuishaungModern, MuishaungNeedham	20	U+005e U+0074
^tʰ	tʰ	tʰɐl₂, tʰi	MuishaungNeedham, MuishaungModern	16	U+005e U+0074 U+02b0
